"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
452,"2017-12-01 00:00:59","2017-12-01 00:08:32",3183,"Exchange Place",40.7162469,-74.0334588,3199,"Newport Pkwy",40.7287448,-74.0321082,29607,"Subscriber",1988,1
159,"2017-12-01 00:04:42","2017-12-01 00:07:21",3187,"Warren St",40.7211236,-74.03805095,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,26269,"Subscriber",1992,1
175,"2017-12-01 00:17:00","2017-12-01 00:19:55",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3205,"JC Medical Center",40.71653978099194,-74.0496379137039,26269,"Subscriber",1992,1
455,"2017-12-01 00:50:22","2017-12-01 00:57:57",3194,"McGinley Square",40.7253399253558,-74.06762212514877,3191,"Union St",40.7182113,-74.0836394,31929,"Subscriber",1990,1
670,"2017-12-01 00:55:03","2017-12-01 01:06:13",3194,"McGinley Square",40.7253399253558,-74.06762212514877,3189,"West Side Light Rail",40.714402,-74.0887723,26274,"Subscriber",1962,1
140,"2017-12-01 02:09:39","2017-12-01 02:11:59",3272,"Jersey & 3rd",40.72333158646436,-74.04595255851744,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,31779,"Subscriber",1985,1
704,"2017-12-01 02:42:44","2017-12-01 02:54:28",3213,"Van Vorst Park",40.71848892,-74.047726625,3190,"Garfield Ave Station",40.7104670233797,-74.07003879547119,26174,"Subscriber",1988,1
803,"2017-12-01 03:37:23","2017-12-01 03:50:47",3209,"Brunswick St",40.7241765,-74.0506564,3210,"Pershing Field",40.742677141,-74.051788633,27818,"Subscriber",1968,1
212,"2017-12-01 03:37:26","2017-12-01 03:40:58",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3183,"Exchange Place",40.7162469,-74.0334588,31908,"Subscriber",1981,0
254,"2017-12-01 04:14:37","2017-12-01 04:18:52",3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,31773,"Subscriber",1981,1
250,"2017-12-01 04:34:47","2017-12-01 04:38:58",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3183,"Exchange Place",40.7162469,-74.0334588,26292,"Subscriber",1983,1
187,"2017-12-01 04:37:09","2017-12-01 04:40:17",3194,"McGinley Square",40.7253399253558,-74.06762212514877,3195,"Sip Ave",40.73074262530658,-74.06378388404846,29644,"Subscriber",1986,2
473,"2017-12-01 04:44:10","2017-12-01 04:52:03",3214,"Essex Light Rail",40.7127742,-74.0364857,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,31825,"Subscriber",1987,1
128,"2017-12-01 04:45:33","2017-12-01 04:47:41",3279,"Dixon Mills",40.721630142638354,-74.04996782541275,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,26268,"Subscriber",1982,1
466,"2017-12-01 04:52:08","2017-12-01 04:59:55",3280,"Astor Place",40.71928220070702,-74.07126188278198,3195,"Sip Ave",40.73074262530658,-74.06378388404846,26230,"Subscriber",1960,1
600,"2017-12-01 04:59:00","2017-12-01 05:09:01",3225,"Baldwin at Montgomery",40.7236589,-74.0641943,3195,"Sip Ave",40.73074262530658,-74.06378388404846,31915,"Subscriber",1962,1
989,"2017-12-01 05:06:30","2017-12-01 05:23:00",3194,"McGinley Square",40.7253399253558,-74.06762212514877,3202,"Newport PATH",40.7272235,-74.0337589,33463,"Subscriber",1970,1
1197,"2017-12-01 05:07:30","2017-12-01 05:27:27",3207,"Oakland Ave",40.7376037,-74.0524783,3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,31743,"Subscriber",1984,2
247,"2017-12-01 05:09:44","2017-12-01 05:13:51",3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,31872,"Subscriber",1980,1
152,"2017-12-01 05:13:38","2017-12-01 05:16:11",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3267,"Morris Canal",40.7124188237569,-74.03852552175522,31946,"Subscriber",1994,1
205,"2017-12-01 05:19:45","2017-12-01 05:23:11",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3183,"Exchange Place",40.7162469,-74.0334588,31946,"Subscriber",1994,1
160,"2017-12-01 05:21:25","2017-12-01 05:24:05",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3183,"Exchange Place",40.7162469,-74.0334588,31725,"Subscriber",1980,1
